timestamp,date,action,side,solAmount,usdcAmount,price,zone,pnl,avgEntry
1760875200000,2025-10-19,rebalance_buy,buy,0.037368,7.1467,190.87,neutral,,
1761004800000,2025-10-21,rebalance_sell,sell,0.038880,7.2041,185.66,neutral,-0.1716,189.7012
1761048000000,2025-10-21,rebalance_buy,buy,0.035806,7.0457,196.38,neutral,,
1761076800000,2025-10-21,rebalance_sell,sell,0.036933,6.8459,185.73,neutral,-0.2148,191.1745
1761220800000,2025-10-23,rebalance_buy,buy,0.037675,7.2142,191.10,neutral,,
1761465600000,2025-10-26,rebalance_sell,sell,0.031153,6.1482,197.75,moderate_sell,0.1931,191.1573
1761667200000,2025-10-28,rebalance_buy,buy,0.030073,5.8904,195.48,neutral,,
1761840000000,2025-10-30,rebalance_sell,sell,0.063270,11.3071,179.07,moderate_buy,-0.8382,191.9598
1762228800000,2025-11-04,emergency_sell,sell,0.098712,15.4668,157.00,stop_loss,-3.4820,191.9598
1762891200000,2025-11-11,rebalance_buy,buy,0.108523,16.8058,154.55,moderate_buy,,
1763395200000,2025-11-17,emergency_sell,sell,0.108523,14.0289,129.53,stop_loss,-2.7434,154.5500
1766073600000,2025-12-18,rebalance_buy,buy,0.133521,15.7228,117.52,moderate_buy,,
1766966400000,2025-12-29,rebalance_sell,sell,0.065276,8.3680,128.45,moderate_sell,0.6967,117.5200
1768766400000,2026-01-18,emergency_sell,sell,0.068244,9.3860,137.81,trailing_stop,1.3659,117.5200
1769860800000,2026-01-31,rebalance_buy,buy,0.190840,20.7496,108.51,strong_buy,,
1769904000000,2026-02-01,rebalance_sell,sell,0.071813,7.5167,104.88,neutral,-0.2757,108.5100
1770235200000,2026-02-04,emergency_sell,sell,0.119027,10.9203,91.93,stop_loss,-1.9954,108.5100
1770292800000,2026-02-05,rebalance_buy,buy,0.231765,19.6164,84.47,strong_buy,,
1770336000000,2026-02-06,rebalance_sell,sell,0.082294,6.2927,76.62,neutral,-0.6586,84.4700
1773835200000,2026-03-18,emergency_sell,sell,0.149471,13.3360,89.40,trailing_stop,0.7102,84.4700
